country,code,GDP_pc
Aruba,ABW,39454.6298308169
Afghanistan,AFG,1934.6367541203501
Angola,AGO,6650.584939847779
Albania,ALB,12930.0676756249
Andorra,AND,
Arab World,ARB,17102.1269199991
United Arab Emirates,ARE,73355.8769793479
Argentina,ARG,20843.1550677175
Armenia,ARM,9620.818491000358
American Samoa,ASM,
Antigua and Barbuda,ATG,25145.5412294362
Australia,AUS,49653.7158885249
Austria,AUT,53879.29785451679
Azerbaijan,AZE,17525.2796310656
Burundi,BDI,737.97858286726
Belgium,BEL,49411.8690997742
Benin,BEN,2276.59572978031
Burkina Faso,BFA,1866.1706199357102
Bangladesh,BGD,3998.4194235515
Bulgaria,BGR,20948.0970565215
Bahrain,BHR,47660.4799076737
"Bahamas, The",BHS,31581.104389648797
Bosnia and Herzegovina,BIH,13735.030237224599
Belarus,BLR,18915.9398914361
Belize,BLZ,8500.444799660809
Bermuda,BMU,
Bolivia,BOL,7480.0771405755795
Brazil,BRA,15662.247017596299
Barbados,BRB,18526.008560408
Brunei Darussalam,BRN,79789.60508529481
Bhutan,BTN,10173.0510685791
Botswana,BWA,17784.855810529498
Central African Republic,CAF,829.346498086113
Canada,CAN,46723.3177643637
Central Europe and the Baltics,CEB,29617.865480409702
Switzerland,CHE,66299.62501109889
Channel Islands,CHI,
Chile,CHL,24248.8607595513
China,CHN,16782.2077583531
Cote d'Ivoire,CIV,3921.7133363581897
Cameroon,CMR,3644.80109612329
"Congo, Dem. Rep.",COD,888.6772799659719
"Congo, Rep.",COG,5614.398973966209
Colombia,COL,14507.261250854599
Comoros,COM,2751.08790965604
Cabo Verde,CPV,7026.984122427951
Costa Rica,CRI,16976.1874153378
Caribbean small states,CSS,15753.1762229694
Cuba,CUB,
Curacao,CUW,27626.640889190698
Cayman Islands,CYM,72607.571471824
Cyprus,CYP,36155.4807539388
Czech Republic,CZE,38019.5805142033
Germany,DEU,52574.2604824888
Djibouti,DJI,
Dominica,DMA,10383.9407632773
Denmark,DNK,54356.4482739471
Dominican Republic,DOM,16451.5400448466
Algeria,DZA,15266.4852082981
East Asia & Pacific (excluding high income),EAP,14900.4347919603
Early-demographic dividend,EAR,9818.819787496372
East Asia & Pacific,EAS,18095.9201590457
Europe & Central Asia (excluding high income),ECA,20780.6138006848
Europe & Central Asia,ECS,33536.984764297704
Ecuador,ECU,11501.010292442199
"Egypt, Arab Rep.",EGY,11742.0500882009
Euro area,EMU,45136.1558085221
Eritrea,ERI,
Spain,ESP,39037.3783388467
Estonia,EST,33447.8277198239
Ethiopia,ETH,1897.24907750157
European Union,EUU,42550.415117029705
Fragile and conflict affected situations,FCS,4531.87762540927
Finland,FIN,46343.5772169122
Fiji,FJI,10318.9586799074
France,FRA,44255.941640102305
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3504.3966506056604
Gabon,GAB,17762.408644601102
United Kingdom,GBR,44896.2645843105
Georgia,GEO,10674.175802685699
Ghana,GHA,4457.3558457773
Gibraltar,GIB,
Guinea,GIN,2435.2184751916197
"Gambia, The",GMB,1612.1395585064001
Guinea-Bissau,GNB,1734.71490884792
Equatorial Guinea,GNQ,24532.9520019804
Greece,GRC,28579.7945258539
Grenada,GRD,14739.065754668702
Greenland,GRL,
Guatemala,GTM,8166.85775480185
Guam,GUM,
Guyana,GUY,8140.415340194771
